SubjID,List,Order,Run,TrialNumber,TrialOnset,Condition,ItemNum,Item,Motion,CorrectAnswer,Response,Accuracy,RT
FED_20190605c_3T2,2,3,2,1,0,FIX,0,+,-,0,0,0,0
FED_20190605c_3T2,2,3,2,2,24,Sent_Sem,13,The pirate is kidnapping the princess.,left,1,1,1,0.356416777998675
FED_20190605c_3T2,2,3,2,3,26,Sent_Sem,12,The model is taking a picture of the photographer.,left,2,1,0,1.87186687400026
FED_20190605c_3T2,2,3,2,4,28,Sent_Sem,21,The ballerina is dancing for the grandpa.,right,1,2,0,1.40368646199931
FED_20190605c_3T2,2,3,2,5,30,Sent_Sem,38,The princess is measuring the tailor.,right,2,2,1,0.787012639997556
FED_20190605c_3T2,2,3,2,6,32,Sent_Sem,11,The lion is pouncing on the Safari guide.,left,1,1,1,1.10235817899957
FED_20190605c_3T2,2,3,2,7,34,Sent_Sem,33,The boss is yelling at the worker.,right,1,2,0,0.835018432997458
FED_20190605c_3T2,2,3,2,8,36,Sent_Sem,31,The visitor is pushing the patient.,right,1,1,1,1.16135721699902
FED_20190605c_3T2,2,3,2,9,38,Sent_Sem,2,The child is scolding the babysitter.,left,2,1,0,1.31644894099736
FED_20190605c_3T2,2,3,2,10,40,Sent_Sem,6,The girl is frightening the ghost.,left,2,1,0,1.53368545199919
FED_20190605c_3T2,2,3,2,11,42,Sent_Sem,3,The doctor is using a stethoscope on the patient.,left,1,1,1,1.066700080999
FED_20190605c_3T2,2,3,2,12,46,Sent_Perc,35,The bouncer is preventing the woman from entering.,right,2,2,1,1.68459594299929
FED_20190605c_3T2,2,3,2,13,48,Sent_Perc,15,The shark is biting the snorkeler.,right,2,1,0,1.75768227699882
FED_20190605c_3T2,2,3,2,14,50,Sent_Perc,18,The customer is serving the waiter.,left,1,1,1,1.29637455199918
FED_20190605c_3T2,2,3,2,15,52,Sent_Perc,30,The mouse is chasing the cat.,left,1,1,1,1.11199749499792
FED_20190605c_3T2,2,3,2,16,54,Sent_Perc,9,The groom is carrying the bride.,right,2,2,1,1.64065077699706
FED_20190605c_3T2,2,3,2,17,56,Sent_Perc,5,The dentist is treating the patient.,right,2,2,1,1.02803349299938
FED_20190605c_3T2,2,3,2,18,58,Sent_Perc,16,The student is lecturing to the professor.,right,2,2,1,1.39589782699841
FED_20190605c_3T2,2,3,2,19,60,Sent_Perc,10,The king is entertaining the jester.,left,1,1,1,1.34398552799757
FED_20190605c_3T2,2,3,2,20,62,Sent_Perc,25,Santa is giving the girl a present.,left,1,1,1,1.52588970699799
FED_20190605c_3T2,2,3,2,21,64,Sent_Perc,22,The sportsstar is interviewing the journalist.,right,2,2,1,1.73751436499879
FED_20190605c_3T2,2,3,2,22,68,Pic_Sem,38,38_plaus_tailor_measuring_princess.jpg,left,1,1,1,1.64747466999688
FED_20190605c_3T2,2,3,2,23,70,Pic_Sem,17,17_implaus_woman_bites_vampir.jpg,right,2,2,1,1.49109494299773
FED_20190605c_3T2,2,3,2,24,72,Pic_Sem,20,20_plaus_chef_cooks_for_lady.jpg,right,1,1,1,1.94440417399892
FED_20190605c_3T2,2,3,2,25,74,Pic_Sem,33,33_implaus_worker_orders_boss.jpg,left,2,1,0,0.0161554299993441
FED_20190605c_3T2,2,3,2,26,76,Pic_Sem,37,37_implaus_woman_proposing_to_man.jpg,left,2,1,0,1.37106742299875
FED_20190605c_3T2,2,3,2,27,78,Pic_Sem,10,10_plaus_jester_entertains_king.jpg,right,1,1,1,1.47166963999916
FED_20190605c_3T2,2,3,2,28,80,Pic_Sem,30,30_plaus_cat_chases_mouse.jpg,left,1,1,1,1.09957575099907
FED_20190605c_3T2,2,3,2,29,82,Pic_Sem,14,14_plaus_priest_blesses_bride.jpg,right,1,1,1,1.16693771700011
FED_20190605c_3T2,2,3,2,30,84,Pic_Sem,5,05_implaus_patient_treating_dentist.jpg,right,2,2,1,0.985649004996958
FED_20190605c_3T2,2,3,2,31,86,Pic_Sem,7,07_implaus_baby_feeding_mother.jpg,left,2,2,1,1.53458138399947
FED_20190605c_3T2,2,3,2,32,90,Pic_Perc,11,11_implaus_guide_chases_lion.jpg,right,2,2,1,1.84747533999689
FED_20190605c_3T2,2,3,2,33,92,Pic_Perc,16,16_plaus_professor_lectures_to_a_student.jpg,right,2,0,0,0
FED_20190605c_3T2,2,3,2,34,94,Pic_Perc,31,31_implaus_patient_pushes_visitor.jpg,right,2,0,0,0
FED_20190605c_3T2,2,3,2,35,96,Pic_Perc,6,06_plaus_ghost_frightens_girl.jpg,left,1,2,0,1.14766636299828
FED_20190605c_3T2,2,3,2,36,98,Pic_Perc,25,25_implaus_girl_gives_present_to_santa.jpg,right,2,1,0,1.38073576899842
FED_20190605c_3T2,2,3,2,37,100,Pic_Perc,40,40_plaus_chauffeur_opens_door_for_lady.jpg,right,2,0,0,0
FED_20190605c_3T2,2,3,2,38,102,Pic_Perc,21,21_implaus_grandpa_dances_for_ballerina.jpg,right,2,2,1,1.58729730299819
FED_20190605c_3T2,2,3,2,39,104,Pic_Perc,2,02_plaus_babysitter_scolding_child.jpg,left,1,1,1,1.58146737700008
FED_20190605c_3T2,2,3,2,40,106,Pic_Perc,32,32_plaus_relative_visits_patient.jpg,right,2,0,0,0
FED_20190605c_3T2,2,3,2,41,108,Pic_Perc,1,01_implaus_criminal_arrests_cop.jpg,left,1,1,1,1.5373569609983
FED_20190605c_3T2,2,3,2,42,110,FIX,0,+,-,0,0,0,0
FED_20190605c_3T2,2,3,2,43,134,Pic_Perc,13,13_implaus_princess_kidnaping_pirate.jpg,left,1,1,1,1.18578184999933
FED_20190605c_3T2,2,3,2,44,136,Pic_Perc,4,04_plaus_fireman_rescuse_grandmother.jpg,left,1,1,1,1.64756678599952
FED_20190605c_3T2,2,3,2,45,138,Pic_Perc,27,27_implaus_athlete_applauds_the_lady.jpg,left,1,1,1,1.77670273900003
FED_20190605c_3T2,2,3,2,46,140,Pic_Perc,39,39_implaus_grandma_saves_lifeguard.jpg,left,1,1,1,1.79965259399978
FED_20190605c_3T2,2,3,2,47,142,Pic_Perc,28,28_plaus_father_laces_shoes_of_child.jpg,left,1,1,1,1.46637056899999
FED_20190605c_3T2,2,3,2,48,144,Pic_Perc,35,35_implaus_girl_rejects_bouncer.jpg,left,1,1,1,1.61315054399893
FED_20190605c_3T2,2,3,2,49,146,Pic_Perc,8,08_plaus_artist_painting_business_man.jpg,right,2,0,0,0
FED_20190605c_3T2,2,3,2,50,148,Pic_Perc,15,15_implaus_snorkler_bites_shark.jpg,right,2,0,0,0
FED_20190605c_3T2,2,3,2,51,150,Pic_Perc,36,36_plaus_dog_licking_child.jpg,right,2,0,0,0
FED_20190605c_3T2,2,3,2,52,152,Pic_Perc,18,18_plaus_waiter_serving_customer.jpg,left,1,1,1,1.47950140999819
FED_20190605c_3T2,2,3,2,53,156,Pic_Sem,26,26_plaus_peasant_bows_to_queen.jpg,left,1,0,0,0
FED_20190605c_3T2,2,3,2,54,158,Pic_Sem,24,24_plaus_father_pulls_child.jpg,right,1,1,1,1.37768931199753
FED_20190605c_3T2,2,3,2,55,160,Pic_Sem,22,22_plaus_journalist_interviews_sports_star.jpg,right,1,1,1,1.49548991399934
FED_20190605c_3T2,2,3,2,56,162,Pic_Sem,23,23_implaus_criminal_sentences_judge.jpg,right,2,2,1,1.20980780299942
FED_20190605c_3T2,2,3,2,57,164,Pic_Sem,3,03_implaus_patient_uses_stethoscope_on_doctor.jpg,right,2,2,1,1.52603009799714
FED_20190605c_3T2,2,3,2,58,166,Pic_Sem,34,34_plaus_dog_leading_blind_person.jpg,left,1,1,1,1.54805225499877
FED_20190605c_3T2,2,3,2,59,168,Pic_Sem,9,09_implaus_bride_carries_groom.jpg,right,2,2,1,1.27472363599736
FED_20190605c_3T2,2,3,2,60,170,Pic_Sem,12,12_plaus_photographer_photographes_model.jpg,right,1,1,1,1.22278531499978
FED_20190605c_3T2,2,3,2,61,172,Pic_Sem,19,19_implaus_beggar_gives_to_man.jpg,right,2,1,0,1.61007793099998
FED_20190605c_3T2,2,3,2,62,174,Pic_Sem,29,29_implaus_grandma_steals_from_thief.jpg,right,2,0,0,0
FED_20190605c_3T2,2,3,2,63,178,Sent_Perc,8,The businessman is painting the artist.,right,2,1,0,1.55396367499998
FED_20190605c_3T2,2,3,2,64,180,Sent_Perc,7,The mother is feeding the baby.,right,2,2,1,1.1173237389994
FED_20190605c_3T2,2,3,2,65,182,Sent_Perc,32,The patient is bringing flowers to the relative.,right,2,2,1,1.16640055799871
FED_20190605c_3T2,2,3,2,66,184,Sent_Perc,20,The lady is cooking for the chef.,right,2,2,1,1.40342691199839
