SubjID,List,Order,Run,TrialNumber,TrialOnset,Condition,ItemNum,Item,Motion,CorrectAnswer,Response,Accuracy,RT
FED_20160803c_3T1,2,2,2,1,0,FIX,0,+,-,0,0,0,0
FED_20160803c_3T1,2,2,2,2,24,Pic_Perc,34,34_plaus_dog_leading_blind_person.jpg,right,2,2,1,1.66988959899754
FED_20160803c_3T1,2,2,2,3,26,Pic_Perc,38,38_plaus_tailor_measuring_princess.jpg,right,2,2,1,1.4055293440033
FED_20160803c_3T1,2,2,2,4,28,Pic_Perc,27,27_implaus_athlete_applauds_the_lady.jpg,right,2,1,0,1.56723554400378
FED_20160803c_3T1,2,2,2,5,30,Pic_Perc,2,02_plaus_babysitter_scolding_child.jpg,left,1,1,1,1.15370551300293
FED_20160803c_3T1,2,2,2,6,32,Pic_Perc,18,18_plaus_waiter_serving_customer.jpg,left,1,1,1,1.46773596999992
FED_20160803c_3T1,2,2,2,7,34,Pic_Perc,28,28_plaus_father_laces_shoes_of_child.jpg,right,2,1,0,1.11784965499828
FED_20160803c_3T1,2,2,2,8,36,Pic_Perc,3,03_implaus_patient_uses_stethoscope_on_doctor.jpg,left,1,1,1,1.31848473800346
FED_20160803c_3T1,2,2,2,9,38,Pic_Perc,11,11_implaus_guide_chases_lion.jpg,left,1,2,0,1.58327149000252
FED_20160803c_3T1,2,2,2,10,40,Pic_Perc,30,30_plaus_cat_chases_mouse.jpg,right,2,2,1,1.70536599500338
FED_20160803c_3T1,2,2,2,11,42,Pic_Perc,5,05_implaus_patient_treating_dentist.jpg,left,1,1,1,1.18323074599903
FED_20160803c_3T1,2,2,2,12,46,Sent_Sem,9,The groom is carrying the bride.,right,1,0,0,0
FED_20160803c_3T1,2,2,2,13,48,Sent_Sem,19,The lawyer is giving money to the beggar.,left,1,2,0,0.930087761007599
FED_20160803c_3T1,2,2,2,14,50,Sent_Sem,6,The girl is frightening the ghost.,right,2,1,0,0.330385234003188
FED_20160803c_3T1,2,2,2,15,52,Sent_Sem,5,The dentist is treating the patient.,right,1,2,0,0.0129730439948617
