subjid,list,run,counterbalancing,onset,condition,item,sentence,irreversible?,numbermoves,motioninfo,correctkey,response,RT,accuracy
FED_20160803c_3T1,1,1,1,18.027994871139526,Sem-photo,1,A man is putting a bow on a wrapped gift.,0,4,"[[0.35, -1.4696462514434447, 0.3002330688285869], [0.7, 0.4748136610600049, -1.4228675227408891], [1.0499999999999998, -1.4696462514434447, 0.3002330688285869], [1.4, 0.4748136610600049, -1.4228675227408891]]",0,,,
FED_20160803c_3T1,1,1,1,20.028307914733887,Sem-photo,25,A woman is putting on a glove.,0,4,"[[0.35, -1.2092990713696814, -0.8874659182100608], [0.7, 1.3732175658476358, -0.6035507574740455], [1.0499999999999998, -1.2092990713696814, -0.8874659182100608], [1.4, 1.3732175658476358, -0.6035507574740455]]",0,1,0.4834110736846924,0
FED_20160803c_3T1,1,1,1,22.028578996658325,Sem-photo,14,A man is catching a baseball.,0,3,"[[0.4666666666666666, -0.8262979955618825, -1.8213268851390778], [0.9333333333333332, 1.990464348906965, 0.1950683873167859], [1.4, -0.8262979955618825, -1.8213268851390778]]",0,0,1.9336659908294678,1
FED_20160803c_3T1,1,1,1,24.0289249420166,Sem-photo,13,A woman is cutting a tomato.,1,3,"[[0.4666666666666666, -0.31295107108129017, -1.9753636695831664], [0.9333333333333332, -1.554239584031228, 1.2587054124895292], [1.4, 1.8671906551125168, 0.7166582570936377]]",1,1,1.283522129058838,1
FED_20160803c_3T1,1,1,1,26.02922487258911,Sem-photo,21,A man is cutting a piece of paper.,1,3,"[[0.4666666666666666, 0.93043076737915, -1.770395037022598], [0.9333333333333332, -1.9984224604850367, 0.07942083749830517], [1.4, 1.067991693105886, 1.6909741995242928]]",1,1,1.4669101238250732,1
FED_20160803c_3T1,1,1,1,28.029526948928833,Sem-photo,20,A man is plugging in his laptop.,0,4,"[[0.35, 0.6806801250575419, 1.336665465758598], [0.7, 0.8172461871795332, -1.2578190130302989], [1.0499999999999998, 0.6806801250575419, 1.336665465758598], [1.4, 0.8172461871795332, -1.2578190130302989]]",0,0,1.200153112411499,1
FED_20160803c_3T1,1,1,1,30.029826879501343,Sem-photo,37,A woman is opening a door.,0,4,"[[0.35, 1.3787857513393493, -0.590719774430809], [0.7, -1.2009712068445684, -0.8987035998204863], [1.0499999999999998, -0.1778145444947797, 1.4894233742512952], [1.4, -1.2009712068445684, -0.8987035998204863]]",0,0,1.366779088973999,1
FED_20160803c_3T1,1,1,1,34.047114849090576,Sem-sent,25,A man is roller-skating on the street.,0,4,"[[0.35, 1.4666235644329608, -0.31466699898457245], [0.7, -0.46080216736322877, 1.4274667640801137], [1.0499999999999998, 1.4666235644329608, -0.31466699898457245], [1.4, -0.46080216736322877, 1.4274667640801137]]",0,,,
FED_20160803c_3T1,1,1,1,36.030746936798096,Sem-sent,49,A woman is putting a parakeet into a cage.,0,3,"[[0.4666666666666666, 1.904919376489007, 0.6093292780399874], [0.9333333333333332, -1.4801543222967637, 1.3450439331807003], [1.4, 1.904919376489007, 0.6093292780399874]]",0,0,0.016668081283569336,1
FED_20160803c_3T1,1,1,1,38.03105306625366,Sem-sent,1,A man is putting a cooking pot on a burner.,0,3,"[[0.4666666666666666, 1.0824139197914253, -1.6817788517643342], [0.9333333333333332, 0.9152562492796256, 1.7782873778314325], [1.4, -1.9976701690710497, -0.0965085260670987]]",0,0,0.15001583099365234,1
FED_20160803c_3T1,1,1,1,40.03135800361633,Sem-sent,43,A man is putting a toupee on his head.,0,4,"[[0.35, 1.435912819268031, -0.4337676514699257], [0.7, -0.34230260412114444, 1.4604208048408114], [1.0499999999999998, -1.0936102151468858, -1.0266531533708851], [1.4, 1.435912819268031, -0.4337676514699257]]",0,0,0.2166919708251953,1
FED_20160803c_3T1,1,1,1,42.03165888786316,Sem-sent,28,A man is putting the chess pieces on the chess board.,0,4,"[[0.35, -0.27945535323049786, 1.4737383436522298], [0.7, -1.1365671675187832, -0.9788846069472796], [1.0499999999999998, 1.416022520749281, -0.49485373670495036], [1.4, -1.1365671675187832, -0.9788846069472796]]",0,0,1.6169121265411377,1
