SubjID,List,Order,Run,TrialNumber,TrialOnset,Condition,ItemNum,Item,Motion,CorrectAnswer,Response,Accuracy,RT
FED_20160805b_3T1,1,3,1,1,0,FIX,0,+,-,0,0,0,0
FED_20160805b_3T1,1,3,1,2,24,Sent_Sem,18,The waiter is serving the customer.,left,1,1,1,1.776678375
FED_20160805b_3T1,1,3,1,3,26,Sent_Sem,17,The woman is biting the vampire.,left,2,2,1,1.587051703
FED_20160805b_3T1,1,3,1,4,28,Sent_Sem,21,The grandpa is dancing for the ballerina.,right,2,2,1,1.494858167
FED_20160805b_3T1,1,3,1,5,30,Sent_Sem,11,The Safari guide is pouncing on the lion.,left,2,0,0,0
FED_20160805b_3T1,1,3,1,6,32,Sent_Sem,8,The artist is painting the businessman.,left,1,2,0,0.046804487
FED_20160805b_3T1,1,3,1,7,34,Sent_Sem,36,The dog is licking the girl on the face.,left,1,1,1,1.297171405
FED_20160805b_3T1,1,3,1,8,36,Sent_Sem,7,The baby is feeding the mother.,right,2,2,1,1.464149567
FED_20160805b_3T1,1,3,1,9,38,Sent_Sem,13,The princess is kidnapping the pirate.,left,2,2,1,1.668730862
FED_20160805b_3T1,1,3,1,10,40,Sent_Sem,29,The grandma is stealing the purse from the thief.,left,2,2,1,1.753968903
FED_20160805b_3T1,1,3,1,11,42,Sent_Sem,38,The tailor is measuring the princess.,left,1,0,0,0
FED_20160805b_3T1,1,3,1,12,46,Sent_Perc,3,The patient is using a stethoscope on the doctor.,left,1,0,0,0
FED_20160805b_3T1,1,3,1,13,48,Sent_Perc,2,The babysitter is scolding the child.,right,2,0,0,0
FED_20160805b_3T1,1,3,1,14,50,Sent_Perc,37,The woman is proposing to the man.,left,1,0,0,0
FED_20160805b_3T1,1,3,1,15,52,Sent_Perc,27,The athlete is applauding the lady.,left,1,0,0,0
FED_20160805b_3T1,1,3,1,16,54,Sent_Perc,12,The photographer is taking a picture of the model.,right,2,1,0,1.223511333
FED_20160805b_3T1,1,3,1,17,56,Sent_Perc,31,The patient is pushing the visitor.,right,2,2,1,1.467034654
FED_20160805b_3T1,1,3,1,18,58,Sent_Perc,5,The patient is treating the dentist.,left,1,2,0,1.626010524
FED_20160805b_3T1,1,3,1,19,60,Sent_Perc,10,The jester is entertaining the king.,left,1,2,0,1.607527855
FED_20160805b_3T1,1,3,1,20,62,Sent_Perc,28,The father is tying the son's shoes.,left,1,1,1,1.383289387
FED_20160805b_3T1,1,3,1,21,64,Sent_Perc,39,The grandmother is saving the lifeguard.,left,1,2,0,1.570970745
FED_20160805b_3T1,1,3,1,22,68,Pic_Sem,27,27_plaus_lady_applauds_the_athlete.jpg,right,1,0,0,0
FED_20160805b_3T1,1,3,1,23,70,Pic_Sem,32,32_implaus_patient_visits_relative.jpg,left,2,1,0,1.658266421
FED_20160805b_3T1,1,3,1,24,72,Pic_Sem,38,38_implaus_princess_measuring_tailor.jpg,right,2,1,0,1.352019307
FED_20160805b_3T1,1,3,1,25,74,Pic_Sem,39,39_plaus_lifeguard_saves_grandma.jpg,right,1,2,0,1.61478524
FED_20160805b_3T1,1,3,1,26,76,Pic_Sem,2,02_implaus_child_scolding_babysitter.jpg,right,2,0,0,0
FED_20160805b_3T1,1,3,1,27,78,Pic_Sem,8,08_implaus_business_man_painting_artist.jpg,right,2,1,0,1.266925177
FED_20160805b_3T1,1,3,1,28,80,Pic_Sem,11,11_plaus_lion_chases_guide.jpg,right,1,1,1,1.348089248
FED_20160805b_3T1,1,3,1,29,82,Pic_Sem,24,24_implaus_child_pulls_father.jpg,right,2,2,1,1.447457941
FED_20160805b_3T1,1,3,1,30,84,Pic_Sem,36,36_implaus_child_licking_dog.jpg,right,2,1,0,1.414985595
FED_20160805b_3T1,1,3,1,31,86,Pic_Sem,3,03_plaus_doctor_uses_stethoscope_on_patient.jpg,left,1,1,1,1.479489717
FED_20160805b_3T1,1,3,1,32,90,Pic_Perc,14,14_implaus_bride_blesses_priest.jpg,left,1,0,0,0
FED_20160805b_3T1,1,3,1,33,92,Pic_Perc,31,31_plaus_visitor_pushes_nurse.jpg,left,1,1,1,1.160808868
FED_20160805b_3T1,1,3,1,34,94,Pic_Perc,22,22_implaus_sports_star_interviews_journalist.jpg,left,1,2,0,1.493351752
FED_20160805b_3T1,1,3,1,35,96,Pic_Perc,29,29_plaus_thief_steals_from_grandma.jpg,right,2,1,0,1.262140569
FED_20160805b_3T1,1,3,1,36,98,Pic_Perc,4,04_implaus_grandmother_rescuse_fireman.jpg,right,2,1,0,1.443167954
FED_20160805b_3T1,1,3,1,37,100,Pic_Perc,23,23_plaus_judge_sentences_criminal.jpg,right,2,2,1,1.459341973
FED_20160805b_3T1,1,3,1,38,102,Pic_Perc,34,34_implaus_blind_person_leading_dog.jpg,left,1,1,1,1.175754547
FED_20160805b_3T1,1,3,1,39,104,Pic_Perc,28,28_implaus_child_laces_shoes_of_father.jpg,left,1,1,1,1.42612076
FED_20160805b_3T1,1,3,1,40,106,Pic_Perc,35,35_plaus_bouncer_rejects_girl.jpg,right,2,2,1,1.592119381
FED_20160805b_3T1,1,3,1,41,108,Pic_Perc,9,09_plaus_groom_carries_bride.jpg,left,1,2,0,1.290300144
FED_20160805b_3T1,1,3,1,42,110,FIX,0,+,-,0,0,0,0
FED_20160805b_3T1,1,3,1,43,134,Pic_Perc,14,14_implaus_bride_blesses_priest.jpg,left,1,1,1,1.621547411
FED_20160805b_3T1,1,3,1,44,136,Pic_Perc,31,31_plaus_visitor_pushes_nurse.jpg,left,1,2,0,1.481446564
FED_20160805b_3T1,1,3,1,45,138,Pic_Perc,22,22_implaus_sports_star_interviews_journalist.jpg,left,1,2,0,1.576032154
FED_20160805b_3T1,1,3,1,46,140,Pic_Perc,29,29_plaus_thief_steals_from_grandma.jpg,right,2,2,1,1.495460566
FED_20160805b_3T1,1,3,1,47,142,Pic_Perc,4,04_implaus_grandmother_rescuse_fireman.jpg,right,2,2,1,1.427937541
FED_20160805b_3T1,1,3,1,48,144,Pic_Perc,23,23_plaus_judge_sentences_criminal.jpg,right,2,2,1,1.479244169
FED_20160805b_3T1,1,3,1,49,146,Pic_Perc,34,34_implaus_blind_person_leading_dog.jpg,left,1,1,1,1.591741857
FED_20160805b_3T1,1,3,1,50,148,Pic_Perc,28,28_implaus_child_laces_shoes_of_father.jpg,left,1,2,0,1.243115884
FED_20160805b_3T1,1,3,1,51,150,Pic_Perc,35,35_plaus_bouncer_rejects_girl.jpg,right,2,1,0,1.561146865
FED_20160805b_3T1,1,3,1,52,152,Pic_Perc,9,09_plaus_groom_carries_bride.jpg,left,1,2,0,1.325515233
FED_20160805b_3T1,1,3,1,53,156,Pic_Sem,27,27_plaus_lady_applauds_the_athlete.jpg,right,1,2,0,1.491066739
FED_20160805b_3T1,1,3,1,54,158,Pic_Sem,32,32_implaus_patient_visits_relative.jpg,left,2,1,0,1.325894923
FED_20160805b_3T1,1,3,1,55,160,Pic_Sem,38,38_implaus_princess_measuring_tailor.jpg,right,2,2,1,1.521360519
FED_20160805b_3T1,1,3,1,56,162,Pic_Sem,39,39_plaus_lifeguard_saves_grandma.jpg,right,1,1,1,1.422101995
FED_20160805b_3T1,1,3,1,57,164,Pic_Sem,2,02_implaus_child_scolding_babysitter.jpg,right,2,1,0,1.137445557
FED_20160805b_3T1,1,3,1,58,166,Pic_Sem,8,08_implaus_business_man_painting_artist.jpg,right,2,2,1,1.333786262
FED_20160805b_3T1,1,3,1,59,168,Pic_Sem,11,11_plaus_lion_chases_guide.jpg,right,1,2,0,1.519698389
FED_20160805b_3T1,1,3,1,60,170,Pic_Sem,24,24_implaus_child_pulls_father.jpg,right,2,1,0,1.540438679
FED_20160805b_3T1,1,3,1,61,172,Pic_Sem,36,36_implaus_child_licking_dog.jpg,right,2,2,1,1.334524593
FED_20160805b_3T1,1,3,1,62,174,Pic_Sem,3,03_plaus_doctor_uses_stethoscope_on_patient.jpg,left,1,1,1,1.703160699
FED_20160805b_3T1,1,3,1,63,178,Sent_Perc,3,The patient is using a stethoscope on the doctor.,left,1,2,0,1.449245377
FED_20160805b_3T1,1,3,1,64,180,Sent_Perc,2,The babysitter is scolding the child.,right,2,2,1,1.593117961
FED_20160805b_3T1,1,3,1,65,182,Sent_Perc,37,The woman is proposing to the man.,left,1,2,0,1.382547657
FED_20160805b_3T1,1,3,1,66,184,Sent_Perc,27,The athlete is applauding the lady.,left,1,2,0,1.33018145
FED_20160805b_3T1,1,3,1,67,186,Sent_Perc,12,The photographer is taking a picture of the model.,right,2,2,1,1.198066898
FED_20160805b_3T1,1,3,1,68,188,Sent_Perc,31,The patient is pushing the visitor.,right,2,2,1,1.129552352
FED_20160805b_3T1,1,3,1,69,190,Sent_Perc,5,The patient is treating the dentist.,left,1,2,0,1.228704263
FED_20160805b_3T1,1,3,1,70,192,Sent_Perc,10,The jester is entertaining the king.,left,1,2,0,1.228952766
FED_20160805b_3T1,1,3,1,71,194,Sent_Perc,28,The father is tying the son's shoes.,left,1,2,0,1.32741578
FED_20160805b_3T1,1,3,1,72,196,Sent_Perc,39,The grandmother is saving the lifeguard.,left,1,2,0,1.310120809
FED_20160805b_3T1,1,3,1,73,200,Sent_Sem,18,The waiter is serving the customer.,left,1,1,1,1.573758639
FED_20160805b_3T1,1,3,1,74,202,Sent_Sem,17,The woman is biting the vampire.,left,2,2,1,1.528252008
FED_20160805b_3T1,1,3,1,75,204,Sent_Sem,21,The grandpa is dancing for the ballerina.,right,2,1,0,1.491871517
FED_20160805b_3T1,1,3,1,76,206,Sent_Sem,11,The Safari guide is pouncing on the lion.,left,2,2,1,1.305857394
FED_20160805b_3T1,1,3,1,77,208,Sent_Sem,8,The artist is painting the businessman.,left,1,1,1,1.372565885
FED_20160805b_3T1,1,3,1,78,210,Sent_Sem,36,The dog is licking the girl on the face.,left,1,1,1,1.490547274
FED_20160805b_3T1,1,3,1,79,212,Sent_Sem,7,The baby is feeding the mother.,right,2,1,0,1.581550813
FED_20160805b_3T1,1,3,1,80,214,Sent_Sem,13,The princess is kidnapping the pirate.,left,2,2,1,1.549888744
FED_20160805b_3T1,1,3,1,81,216,Sent_Sem,29,The grandma is stealing the purse from the thief.,left,2,2,1,1.577015259
FED_20160805b_3T1,1,3,1,82,218,Sent_Sem,38,The tailor is measuring the princess.,left,1,1,1,1.319034326
FED_20160805b_3T1,1,3,1,83,220,FIX,0,+,-,0,0,0,0
