SubjID,List,Order,Run,TrialNumber,TrialOnset,Condition,ItemNum,Item,Motion,CorrectAnswer,Response,Accuracy,RT
FED_20160907b_3T2,2,4,2,1,0,FIX,0,+,-,0,0,0,0
FED_20160907b_3T2,2,4,2,2,24,Sent_Perc,40,The lady is opening the door for the chauffeur.,right,2,2,1,1.32303451500047
FED_20160907b_3T2,2,4,2,3,26,Sent_Perc,9,The groom is carrying the bride.,left,1,1,1,1.07059975399898
FED_20160907b_3T2,2,4,2,4,28,Sent_Perc,25,Santa is giving the girl a present.,right,2,2,1,1.03733967500011
FED_20160907b_3T2,2,4,2,5,30,Sent_Perc,35,The bouncer is preventing the woman from entering.,right,2,2,1,1.38597923500492
FED_20160907b_3T2,2,4,2,6,32,Sent_Perc,22,The sportsstar is interviewing the journalist.,right,2,2,1,1.62452884099912
FED_20160907b_3T2,2,4,2,7,34,Sent_Perc,8,The businessman is painting the artist.,right,2,2,1,1.01813754100294
FED_20160907b_3T2,2,4,2,8,36,Sent_Perc,26,The queen is bowing to the peasant.,right,2,2,1,1.3002208800026
FED_20160907b_3T2,2,4,2,9,38,Sent_Perc,29,The thief is stealing the purse from the grandma.,right,2,2,1,0.834680931002367
FED_20160907b_3T2,2,4,2,10,40,Sent_Perc,37,The man is proposing to the woman.,left,1,1,1,1.16632407300494
FED_20160907b_3T2,2,4,2,11,42,Sent_Perc,34,The blind person is leading the dog.,left,1,1,1,1.03195595699799
FED_20160907b_3T2,2,4,2,12,46,Pic_Sem,16,16_plaus_professor_lectures_to_a_student.jpg,right,1,2,0,1.96816948400374
FED_20160907b_3T2,2,4,2,13,48,Pic_Sem,7,07_implaus_baby_feeding_mother.jpg,right,2,2,1,0.00593361999926856
FED_20160907b_3T2,2,4,2,14,50,Pic_Sem,11,11_implaus_guide_chases_lion.jpg,right,2,2,1,1.26405802000227
FED_20160907b_3T2,2,4,2,15,52,Pic_Sem,27,27_implaus_athlete_applauds_the_lady.jpg,right,2,1,0,1.57866912800091
FED_20160907b_3T2,2,4,2,16,54,Pic_Sem,10,10_plaus_jester_entertains_king.jpg,right,1,1,1,1.14199853999889
FED_20160907b_3T2,2,4,2,17,56,Pic_Sem,6,06_plaus_ghost_frightens_girl.jpg,left,1,1,1,1.56360296400089
FED_20160907b_3T2,2,4,2,18,58,Pic_Sem,31,31_implaus_patient_pushes_visitor.jpg,left,2,2,1,1.80100313600269
FED_20160907b_3T2,2,4,2,19,60,Pic_Sem,34,34_plaus_dog_leading_blind_person.jpg,right,1,1,1,1.83502778300317
FED_20160907b_3T2,2,4,2,20,62,Pic_Sem,19,19_implaus_beggar_gives_to_man.jpg,right,2,2,1,1.59619379200012
FED_20160907b_3T2,2,4,2,21,64,Pic_Sem,17,17_implaus_woman_bites_vampir.jpg,left,2,2,1,1.67774189000193
FED_20160907b_3T2,2,4,2,22,68,Pic_Perc,25,25_implaus_girl_gives_present_to_santa.jpg,left,1,1,1,1.72516711299977
FED_20160907b_3T2,2,4,2,23,70,Pic_Perc,28,28_plaus_father_laces_shoes_of_child.jpg,right,2,2,1,1.56122852399858
FED_20160907b_3T2,2,4,2,24,72,Pic_Perc,15,15_implaus_snorkler_bites_shark.jpg,right,2,1,0,1.61868408200098
FED_20160907b_3T2,2,4,2,25,74,Pic_Perc,13,13_implaus_princess_kidnaping_pirate.jpg,right,2,2,1,1.53221911199944
FED_20160907b_3T2,2,4,2,26,76,Pic_Perc,12,12_plaus_photographer_photographes_model.jpg,left,1,1,1,1.0716714040027
FED_20160907b_3T2,2,4,2,27,78,Pic_Perc,33,33_implaus_worker_orders_boss.jpg,right,2,2,1,1.18916133300081
FED_20160907b_3T2,2,4,2,28,80,Pic_Perc,32,32_plaus_relative_visits_patient.jpg,left,1,1,1,1.13788937700156
FED_20160907b_3T2,2,4,2,29,82,Pic_Perc,9,09_implaus_bride_carries_groom.jpg,right,2,2,1,1.4872305950048
FED_20160907b_3T2,2,4,2,30,84,Pic_Perc,36,36_plaus_dog_licking_child.jpg,left,1,1,1,0.736498705002305
FED_20160907b_3T2,2,4,2,31,86,Pic_Perc,30,30_plaus_cat_chases_mouse.jpg,left,1,2,0,1.06428026700451
FED_20160907b_3T2,2,4,2,32,90,Sent_Sem,4,The grandmother is rescuing the fireman.,right,2,2,1,1.64000943100109
FED_20160907b_3T2,2,4,2,33,92,Sent_Sem,11,The lion is pouncing on the Safari guide.,right,1,1,1,1.19838443100161
FED_20160907b_3T2,2,4,2,34,94,Sent_Sem,33,The boss is yelling at the worker.,right,1,1,1,1.28113362200384
FED_20160907b_3T2,2,4,2,35,96,Sent_Sem,6,The girl is frightening the ghost.,right,2,2,1,1.59801835899998
FED_20160907b_3T2,2,4,2,36,98,Sent_Sem,7,The mother is feeding the baby.,left,1,1,1,1.16354713300098
FED_20160907b_3T2,2,4,2,37,100,Sent_Sem,12,The model is taking a picture of the photographer.,right,2,2,1,1.5374015730049
FED_20160907b_3T2,2,4,2,38,102,Sent_Sem,20,The lady is cooking for the chef.,right,2,2,1,1.68861345299956
FED_20160907b_3T2,2,4,2,39,104,Sent_Sem,27,The lady is applauding the athlete.,right,1,1,1,1.42764834799891
FED_20160907b_3T2,2,4,2,40,106,Sent_Sem,19,The lawyer is giving money to the beggar.,left,1,1,1,1.59562066600483
FED_20160907b_3T2,2,4,2,41,108,Sent_Sem,17,The vampire is biting the woman.,left,1,1,1,1.69544473099813
FED_20160907b_3T2,2,4,2,42,110,FIX,0,+,-,0,0,0,0
FED_20160907b_3T2,2,4,2,43,134,Sent_Sem,4,The grandmother is rescuing the fireman.,right,2,0,0,0
FED_20160907b_3T2,2,4,2,44,136,Sent_Sem,11,The lion is pouncing on the Safari guide.,right,1,2,0,0.45167058500374
FED_20160907b_3T2,2,4,2,45,138,Sent_Sem,33,The boss is yelling at the worker.,right,1,2,0,1.40123121099896
FED_20160907b_3T2,2,4,2,46,140,Sent_Sem,6,The girl is frightening the ghost.,right,2,1,0,1.23341493699991
FED_20160907b_3T2,2,4,2,47,142,Sent_Sem,7,The mother is feeding the baby.,left,1,0,0,0
FED_20160907b_3T2,2,4,2,48,144,Sent_Sem,12,The model is taking a picture of the photographer.,right,2,2,1,0.199793790001422
FED_20160907b_3T2,2,4,2,49,146,Sent_Sem,20,The lady is cooking for the chef.,right,2,2,1,0.0649229609989561
FED_20160907b_3T2,2,4,2,50,148,Sent_Sem,27,The lady is applauding the athlete.,right,1,2,0,1.61817499400058
FED_20160907b_3T2,2,4,2,51,150,Sent_Sem,19,The lawyer is giving money to the beggar.,left,1,2,0,1.84168124400458
FED_20160907b_3T2,2,4,2,52,152,Sent_Sem,17,The vampire is biting the woman.,left,1,1,1,1.65853952600446
FED_20160907b_3T2,2,4,2,53,156,Pic_Perc,25,25_implaus_girl_gives_present_to_santa.jpg,left,1,1,1,1.57883738300006
FED_20160907b_3T2,2,4,2,54,158,Pic_Perc,28,28_plaus_father_laces_shoes_of_child.jpg,right,2,2,1,1.32598426600453
FED_20160907b_3T2,2,4,2,55,160,Pic_Perc,15,15_implaus_snorkler_bites_shark.jpg,right,2,1,0,0.977871219998633
