subjid,list,run,counterbalancing,onset,condition,item,sentence,irreversible?,numbermoves,motioninfo,correctkey,response,RT,accuracy
FED_20190611b_3T2,2,1,1,18.02737021446228,Sem-photo,87,A man is pouring some soda.,0,4,"[[0.35, -0.7448228278695123, 1.302013423542347], [0.7, 1.4999881147907765, -0.005971221517610644], [1.0499999999999998, -0.7448228278695123, 1.302013423542347], [1.4, 1.4999881147907765, -0.005971221517610644]]",0,0,1.0835258960723877,1
FED_20190611b_3T2,2,1,1,20.02761721611023,Sem-photo,78,A man is hammering a nail.,0,4,"[[0.35, -0.7925380648521966, 1.2735318668020583], [0.7, -0.7066419167535039, -1.3231240310291903], [1.0499999999999998, -0.7925380648521966, 1.2735318668020583], [1.4, 1.4991799816057008, 0.04959216422713139]]",0,,,
FED_20190611b_3T2,2,1,1,22.027876138687134,Sem-photo,76,A woman is squeezing toothpaste onto a toothbrush.,1,4,"[[0.35, 1.4012742874226565, 0.5351919014784571], [0.7, -0.23714736113128632, -1.481135081317186], [1.0499999999999998, -1.1641269262913698, 0.9459431798387299], [1.4, 1.4012742874226565, 0.5351919014784571]]",1,1,0.10004687309265137,1
FED_20190611b_3T2,2,1,1,24.028130054473877,Sem-photo,109,A man is washing a wine glass.,0,3,"[[0.4666666666666666, 1.9562493073662095, -0.41603923784809693], [0.9333333333333332, -1.338425202630672, -1.4861419773908024], [1.4, -0.6178241047355386, 1.902181215238898]]",0,0,1.8002309799194336,1
FED_20190611b_3T2,2,1,1,26.028395175933838,Sem-photo,59,A woman is pulling out a tissue.,1,4,"[[0.35, -1.282787672946717, 0.7774675466769962], [0.7, -0.03191280956688224, -1.499660485771879], [1.0499999999999998, -1.282787672946717, 0.7774675466769962], [1.4, -0.03191280956688224, -1.499660485771879]]",1,0,1.8001999855041504,0
FED_20190611b_3T2,2,1,1,28.02865219116211,Sem-photo,61,A man is putting a pillowcase on a pillow.,0,3,"[[0.4666666666666666, 1.7074062919127901, -1.0415199250790241], [0.9333333333333332, 0.04827956770970368, 1.9994171859173773], [1.4, 1.7074062919127901, -1.0415199250790241]]",0,0,1.7168879508972168,1
FED_20190611b_3T2,2,1,1,30.028906106948853,Sem-photo,97,A woman is painting a picture.,1,4,"[[0.35, 1.4999450263386598, 0.012842038853590825], [0.7, -0.7610940450529269, 1.2925694776626027], [1.0499999999999998, 1.4999450263386598, 0.012842038853590825], [1.4, -0.7388509812857327, -1.3054115165161941]]",1,1,1.716892957687378,1
FED_20190611b_3T2,2,1,1,34.0294291973114,Sem-sent,65,A man is playing the drums.,0,4,"[[0.35, -0.5079736422181617, -1.4113691150126586], [0.7, -0.9682946866086428, 1.1456026361201646], [1.0499999999999998, 1.4762683288268041, 0.2657664788924947], [1.4, -0.9682946866086428, 1.1456026361201646]]",0,0,1.7835588455200195,1
FED_20190611b_3T2,2,1,1,36.029688119888306,Sem-sent,74,A woman is making a necklace using some beads.,0,3,"[[0.4666666666666666, 1.168052886068438, -1.6234692652918294], [0.9333333333333332, -1.9899920690402015, -0.19982883965308362], [1.4, 1.168052886068438, -1.6234692652918294]]",0,0,1.5001699924468994,1
FED_20190611b_3T2,2,1,1,38.02995014190674,Sem-sent,109,A boy is looking at the butterfly on the flower.,0,4,"[[0.35, -0.4489823345326076, 1.431228445524211], [0.7, 1.4639713597091832, -0.3267841152064231], [1.0499999999999998, -1.0149890251765763, -1.1044443303177862], [1.4, -0.4489823345326076, 1.431228445524211]]",0,0,1.3502330780029297,1
FED_20190611b_3T2,2,1,1,40.03020715713501,Sem-sent,111,A man is trying to see something far away using binoculars.,0,3,"[[0.4666666666666666, 1.0287121027051684, 1.715153465363351], [0.9333333333333332, 0.9710104210409906, -1.748467546804858], [1.4, -1.9997225237461593, 0.03331408144150598]]",0,0,1.7835559844970703,1
FED_20190611b_3T2,2,1,1,42.030458211898804,Sem-sent,61,A man is serving appetizers using a silver platter.,0,3,"[[0.4666666666666666, -1.8989650179863213, -0.6276399130586022], [0.9333333333333332, 1.4930346181309666, -1.330731989944827], [1.4, 0.4059303998553548, 1.958371903003429]]",0,0,1.6000328063964844,1
FED_20190611b_3T2,2,1,1,44.03071999549866,Sem-sent,64,A woman is putting staples into the stapler.,0,4,"[[0.35, 0.15854939490299175, -1.4915971605550526], [0.7, -1.3710357307049077, 0.6084907765368839], [1.0499999999999998, 0.15854939490299175, -1.4915971605550526], [1.4, 1.2124863358019162, 0.8831063840181672]]",0,1,1.3669140338897705,0
FED_20190611b_3T2,2,1,1,46.03097200393677,Sem-sent,97,A woman is spreading lotion on her hands.,1,4,"[[0.35, 1.4927708993209783, 0.1470885520373281], [0.7, -0.8737678723306851, 1.2192332448234455], [1.0499999999999998, 1.4927708993209783, 0.1470885520373281], [1.4, -0.6190030269902926, -1.3663217968607744]]",1,0,1.3002431392669678,0
FED_20190611b_3T2,2,1,1,50.031490087509155,Perc-photo,30,A woman is putting scissors in a desk organizer.,0,3,"[[0.4666666666666666, 0.5824915397422682, -1.9132965285414285], [0.9333333333333332, 1.3657176288183224, 1.4611007351770304], [1.4, 0.5824915397422682, -1.9132965285414285]]",1,0,1.9335789680480957,0
FED_20190611b_3T2,2,1,1,52.031758069992065,Perc-photo,25,A woman is putting on a glove.,0,4,"[[0.35, 1.0948078310733005, 1.0253759374105555], [0.7, -1.4354055257634744, 0.4354434252663416], [1.0499999999999998, 1.0948078310733005, 1.0253759374105555], [1.4, -1.4354055257634744, 0.4354434252663416]]",0,,,
FED_20190611b_3T2,2,1,1,54.0320200920105,Perc-photo,13,A woman is cutting a tomato.,1,3,"[[0.4666666666666666, -1.9025126958751801, 0.6168025956768943], [0.9333333333333332, 0.4170896309612182, -1.956025623488771], [1.4, 1.4854230649139617, 1.339223027811877]]",1,0,0.049920082092285156,0
FED_20190611b_3T2,2,1,1,56.03225803375244,Perc-photo,16,A man is putting sunglasses on his head.,0,4,"[[0.35, 1.1338569086683785, 0.9820226630098658], [0.7, -1.4173850275927775, 0.49093755565837593], [1.0499999999999998, 0.28352811892440044, -1.4729602186682405], [1.4, 1.1338569086683785, 0.9820226630098658]]",0,0,1.8000390529632568,1
FED_20190611b_3T2,2,1,1,58.032525062561035,Perc-photo,10,A man is lighting a candle.,1,3,"[[0.4666666666666666, -0.8409652835046769, 1.8146011660802763], [0.9333333333333332, 1.9919733493147231, -0.179003283824304], [1.4, -0.8409652835046769, 1.8146011660802763]]",1,1,1.9669151306152344,1
FED_20190611b_3T2,2,1,1,60.03278613090515,Perc-photo,38,A woman is biting into a piece of candy.,1,4,"[[0.35, 0.1004983050254023, 1.4966295769785591], [0.7, 1.2458700812058887, -0.8353488736785558], [1.0499999999999998, -1.3463683862312918, -0.6612807033000037], [1.4, 0.1004983050254023, 1.4966295769785591]]",0,1,1.9835870265960693,0
FED_20190611b_3T2,2,1,1,62.03307318687439,Perc-photo,3,A man is biting a banana.,1,4,"[[0.35, 1.4990276790737522, -0.05400016084013061], [0.7, -0.7027483284408764, 1.325196131473962], [1.0499999999999998, -0.7962793506328744, -1.2711959706338312], [1.4, -0.7027483284408764, 1.325196131473962]]",0,0,1.750187873840332,1
FED_20190611b_3T2,2,1,1,66.01689314842224,Perc-sent,11,A man is vacuuming the carpet.,0,4,"[[0.35, -1.2327403482967747, -0.8546058937786158], [0.7, 1.3564805883845739, -0.6402815110057769], [1.0499999999999998, -1.2327403482967747, -0.8546058937786158], [1.4, 1.3564805883845739, -0.6402815110057769]]",0,0,1.7335460186004639,1
FED_20190611b_3T2,2,1,1,68.01714205741882,Perc-sent,48,A woman is making an apple martini.,1,4,"[[0.35, -0.14885257619072084, 1.4925960305995007], [0.7, 1.3670523681823432, -0.6173879028998277], [1.0499999999999998, -0.14885257619072084, 1.4925960305995007], [1.4, 1.3670523681823432, -0.6173879028998277]]",0,0,1.9835679531097412,1
FED_20190611b_3T2,2,1,1,70.01743817329407,Perc-sent,29,A woman is dissolving some Alka-Seltzer in a glass.,1,3,"[[0.4666666666666666, 0.7336194441136272, -1.8605919787042007], [0.9333333333333332, 1.2445101975785806, 1.5656290646647189], [1.4, 0.7336194441136272, -1.8605919787042007]]",1,1,1.7501909732818604,1
FED_20190611b_3T2,2,1,1,72.01766300201416,Perc-sent,9,A man is watering his flowers with a hose.,1,3,"[[0.4666666666666666, -1.6982638680367195, -1.056361602161381], [0.9333333333333332, -0.06570404903582493, 1.9989204531297131], [1.4, -1.6982638680367195, -1.056361602161381]]",1,1,1.8835821151733398,1
FED_20190611b_3T2,2,1,1,74.01792812347412,Perc-sent,4,A man is hanging a shirt on a clothes line.,0,4,"[[0.35, -1.0679414824049482, -1.0533285290728251], [0.7, -0.37823852350548826, 1.45152871805431], [1.0499999999999998, -1.0679414824049482, -1.0533285290728251], [1.4, 1.4461800059104362, -0.3982001889814858]]",0,,,
FED_20190611b_3T2,2,1,1,76.01818799972534,Perc-sent,7,A man is eating a piece of salami.,1,4,"[[0.35, -1.4092303987931822, -0.5138771089640097], [0.7, 0.25958456861045465, 1.477367879622176], [1.0499999999999998, -1.4092303987931822, -0.5138771089640097], [1.4, 0.25958456861045465, 1.477367879622176]]",0,0,1.783553123474121,1
FED_20190611b_3T2,2,1,1,78.01843619346619,Perc-sent,12,A woman is putting paper into the copier.,0,4,"[[0.35, -1.388682315814255, 0.5670638639031395], [0.7, 1.185432869615407, 0.9191022313297805], [1.0499999999999998, -1.388682315814255, 0.5670638639031395], [1.4, 1.185432869615407, 0.9191022313297805]]",0,0,1.8002328872680664,1
FED_20190611b_3T2,2,1,1,98.02091717720032,Perc-sent,22,A man is washing his jeans at the laundromat.,0,4,"[[0.35, -1.4711659518814162, -0.2926956474306491], [0.7, 0.9890648421927832, -1.1277192637966973], [1.0499999999999998, -1.4711659518814162, -0.2926956474306491], [1.4, 0.9890648421927832, -1.1277192637966973]]",0,0,1.9002869129180908,1
FED_20190611b_3T2,2,1,1,100.02131009101868,Perc-sent,47,A woman is chopping up onions.,1,3,"[[0.4666666666666666, -1.8670023326595941, 0.717148722263126], [0.9333333333333332, 1.554570178101216, 1.2582970878764494], [1.4, 0.3124321545583787, -1.9754458101395769]]",1,1,1.950256109237671,1
FED_20190611b_3T2,2,1,1,102.02154421806335,Perc-sent,35,A woman is stirring the soup using a ladle.,0,3,"[[0.4666666666666666, 1.9974540801908394, 0.10088209716777384], [0.9333333333333332, -0.9113605811610775, -1.7802870249220328], [1.4, -1.0860934990297613, 1.6794049277542595]]",1,1,1.9002399444580078,1
FED_20190611b_3T2,2,1,1,104.02180504798889,Perc-sent,32,A man is making an extra hole in his belt.,1,4,"[[0.35, -0.6753255751164493, 1.3393787244814803], [0.7, 1.497598788247585, -0.0848402583645578], [1.0499999999999998, -0.8222732131311352, -1.2545384661169217], [1.4, 1.497598788247585, -0.0848402583645578]]",0,0,1.716874122619629,1
FED_20190611b_3T2,2,1,1,106.02205300331116,Perc-sent,3,A man is eating a clementine.,1,3,"[[0.4666666666666666, -1.6552003234850563, -1.1226361338986757], [0.9333333333333332, -0.1446312494200748, 1.994763595439617], [1.4, -1.6552003234850563, -1.1226361338986757]]",1,1,1.9002490043640137,1
FED_20190611b_3T2,2,1,1,108.0223081111908,Perc-sent,33,A man is putting pasta sauce on spaghetti.,1,3,"[[0.4666666666666666, 0.7942068624462882, 1.8355477274217695], [0.9333333333333332, 1.1925275305829022, -1.605577182449304], [1.4, 0.7942068624462882, 1.8355477274217695]]",1,1,1.9169209003448486,1
FED_20190611b_3T2,2,1,1,110.0225760936737,Perc-sent,13,A woman is wiping the kitchen counter with a sponge.,0,4,"[[0.35, 0.6843223865507365, 1.3348044318421723], [0.7, -1.4981357403347437, -0.07476164478975317], [1.0499999999999998, 0.6843223865507365, 1.3348044318421723], [1.4, 0.8138133537840069, -1.2600427870524187]]",0,0,1.7835490703582764,1
FED_20190611b_3T2,2,1,1,114.02308917045593,Perc-photo,56,A man is putting an ice cube in a water bottle.,1,3,"[[0.4666666666666666, -0.5814932847778896, 1.9136001567093948], [0.9333333333333332, -1.3664797060072742, -1.4603880351024086], [1.4, -0.5814932847778896, 1.9136001567093948]]",1,0,1.750119924545288,0
FED_20190611b_3T2,2,1,1,116.0233461856842,Perc-photo,12,A woman is baking cookies.,1,4,"[[0.35, -1.0179925779044363, -1.1016765003082711], [0.7, 1.4630761249715158, -0.33076918317511605], [1.0499999999999998, -0.4450835470670781, 1.4324456834833872], [1.4, -1.0179925779044363, -1.1016765003082711]]",0,0,1.833556890487671,1
FED_20190611b_3T2,2,1,1,118.02360010147095,Perc-photo,17,A man is sweetening his tea.,1,4,"[[0.35, -0.8722309140812028, 1.220333246503212], [0.7, -0.6207241355139183, -1.3655407528120493], [1.0499999999999998, 1.4929550495951207, 0.14520750630883605], [1.4, -0.8722309140812028, 1.220333246503212]]",0,0,1.7835650444030762,1
FED_20190611b_3T2,2,1,1,120.05720901489258,Perc-photo,19,A man is highlighting something in a book.,1,3,"[[0.4666666666666666, 1.961086065233953, -0.3926085133376654], [0.9333333333333332, -0.6405340863245154, 1.8946546081691034], [1.4, 1.961086065233953, -0.3926085133376654]]",1,1,1.8002359867095947,1
FED_20190611b_3T2,2,1,1,122.0241231918335,Perc-photo,4,A man is polishing a shoe.,0,4,"[[0.35, -1.495844312883462, 0.11157863421911839], [0.7, 0.8445520881950591, 1.2396498579539972], [1.0499999999999998, 0.6512922246884019, -1.351228492173116], [1.4, 0.8445520881950591, 1.2396498579539972]]",0,0,1.8168888092041016,1
FED_20190611b_3T2,2,1,1,124.0243821144104,Perc-photo,18,A man is putting some flowers in a vase.,0,3,"[[0.4666666666666666, 1.1817353474037777, 1.6135369746914612], [0.9333333333333332, 0.8064963363264066, -1.8301813187474305], [1.4, -1.9882316837301832, 0.21664434405596805]]",1,,,
FED_20190611b_3T2,2,1,1,126.02442502975464,Perc-photo,48,A man is throwing away banana peels.,0,3,"[[0.4666666666666666, -1.666482539377462, -1.1058191289492354], [0.9333333333333332, -0.12442618797208496, 1.996125778538701], [1.4, 1.7909087273495485, -0.8903066495894659]]",1,1,1.7838091850280762,1
FED_20190611b_3T2,2,1,1,130.0249981880188,Sem-sent,60,A woman is cutting a cucumber for the salad.,1,4,"[[0.35, 0.3922022742227384, 1.447818143308928], [0.7, 1.0577461550541822, -1.0635662045533856], [1.0499999999999998, -1.4499484292769196, -0.38425193875554325], [1.4, 1.0577461550541822, -1.0635662045533856]]",1,1,1.6670279502868652,1
FED_20190611b_3T2,2,1,1,132.02540922164917,Sem-sent,88,A man is kicking a soccer ball.,0,4,"[[0.35, 0.9021615282511168, -1.1983758078931706], [0.7, -1.4889046570417444, -0.18210689783587408], [1.0499999999999998, 0.5867431287906272, 1.3804827057290452], [1.4, 0.9021615282511168, -1.1983758078931706]]",0,0,1.350127935409546,1
FED_20190611b_3T2,2,1,1,134.02567219734192,Sem-sent,66,A man is assembling a radio.,0,3,"[[0.4666666666666666, 0.20751365182158774, 1.9892053901766074], [0.9333333333333332, 1.6189455753270852, -1.1743147891978765], [1.4, 0.20751365182158774, 1.9892053901766074]]",0,0,1.966890811920166,1
FED_20190611b_3T2,2,1,1,136.02592611312866,Sem-sent,79,A woman is putting bell peppers in an omelet.,1,3,"[[0.4666666666666666, -1.989411035925008, -0.20553279577670136], [0.9333333333333332, 0.8167088955090425, 1.8256468935685235], [1.4, -1.989411035925008, -0.20553279577670136]]",1,1,1.7835519313812256,1
FED_20190611b_3T2,2,1,1,138.02608108520508,Sem-sent,59,A woman is singing into the microphone.,0,4,"[[0.35, 1.087847426356372, 1.0327574628003509], [0.7, 0.3504704855548798, -1.458482238066315], [1.0499999999999998, -1.438317911911252, 0.425724775265965], [1.4, 1.087847426356372, 1.0327574628003509]]",0,0,1.7335100173950195,1
FED_20190611b_3T2,2,1,1,140.026349067688,Sem-sent,95,A man is mowing the lawn.,1,3,"[[0.4666666666666666, -1.9224226016544288, 0.5516260877154172], [0.9333333333333332, 1.4389335061789885, 1.3890537659843993], [1.4, 0.4834890954754396, -1.9406798536998164]]",1,0,1.9003429412841797,0
FED_20190611b_3T2,2,1,1,142.0265851020813,Sem-sent,77,A man is planting a flower in a flower pot.,0,4,"[[0.35, -0.5733846852115349, -1.3860844140112352], [0.7, 1.4870766569291645, 0.19647650347148388], [1.0499999999999998, -0.9136919717176293, 1.1896079105397503], [1.4, -0.5733846852115349, -1.3860844140112352]]",0,,,
FED_20190611b_3T2,2,1,1,146.02724504470825,Sem-photo,95,A woman straightening her hair.,0,3,"[[0.4666666666666666, -1.9314155489924576, -0.5192629171336651], [0.9333333333333332, 0.516012897015261, 1.9322863892585689], [1.4, 1.4154026519771965, -1.413023472124904]]",0,0,1.7668731212615967,1
FED_20190611b_3T2,2,1,1,148.02748012542725,Sem-photo,77,A man is buttering a bread roll.,1,3,"[[0.4666666666666666, 0.5064571395460934, 1.9348129536993464], [0.9333333333333332, 1.4223685997017919, -1.4060112256245907], [1.4, 0.5064571395460934, 1.9348129536993464]]",1,1,1.8502249717712402,1
FED_20190611b_3T2,2,1,1,150.0277349948883,Sem-photo,80,A woman is pouring some dish soap onto a sponge.,0,4,"[[0.35, -1.4565319616767127, 0.35848939261041857], [0.7, 0.41780505985048244, -1.4406383765412243], [1.0499999999999998, 1.0387269018262317, 1.0821489839308072], [1.4, -1.4565319616767127, 0.35848939261041857]]",0,1,1.7502241134643555,0
FED_20190611b_3T2,2,1,1,152.02799820899963,Sem-photo,107,A man is dusting a bookshelf.,0,4,"[[0.35, 1.1885897375721763, 0.9150160849614095], [0.7, -1.3867220432340495, 0.5718408649342778], [1.0499999999999998, 1.1885897375721763, 0.9150160849614095], [1.4, 0.19813230566187362, -1.4868569498956883]]",0,0,1.7502179145812988,1
FED_20190611b_3T2,2,1,1,154.04493308067322,Sem-photo,74,A man is pouring some coffee.,0,3,"[[0.4666666666666666, 1.995230019306482, 0.1380477093553376], [0.9333333333333332, -1.1171678328892138, 1.6588960284350607], [1.4, -0.8780621864172683, -1.7969437377903978]]",0,0,1.9002230167388916,1
FED_20190611b_3T2,2,1,1,156.02850103378296,Sem-photo,112,A woman is opening a wine bottle.,1,4,"[[0.35, -0.9110811928478073, -1.1916086018651497], [0.7, -0.5764227241593723, 1.3848237588490053], [1.0499999999999998, 1.4875039170071802, -0.1932151569838551], [1.4, -0.9110811928478073, -1.1916086018651497]]",1,,,
