subjid,list,run,counterbalancing,onset,condition,item,sentence,irreversible?,numbermoves,motioninfo,correctkey,response,RT,accuracy
FED_20160523c_3T2,1,1,1,18.027438163757324,Sem-photo,51,A woman is pouring chocolate syrup into a glass of milk.,1,3,"[[0.4666666666666666, 1.6606585326711907, 1.1145462026611404], [0.9333333333333332, 0.13489605886043105, -1.9954455776352116], [1.4, 1.6606585326711907, 1.1145462026611404]]",1,,,
FED_20160523c_3T2,1,1,1,20.027701139450073,Sem-photo,13,A woman is cutting a tomato.,1,3,"[[0.4666666666666666, -1.8846322179046575, 0.6694485814726708], [0.9333333333333332, 0.3625566308695389, -1.9668636682323788], [1.4, -1.8846322179046575, 0.6694485814726708]]",1,1,0.6833810806274414,1
FED_20160523c_3T2,1,1,1,22.027846097946167,Sem-photo,28,A man is screwing in a screw.,0,4,"[[0.35, -0.010913799416339106, -1.4999602958019589], [0.7, -1.2935468211243482, 0.7594317754473363], [1.0499999999999998, -0.010913799416339106, -1.4999602958019589], [1.4, 1.3044606205406875, 0.7405285203546211]]",0,1,0.2834599018096924,0
FED_20160523c_3T2,1,1,1,24.02818512916565,Sem-photo,27,A man is grating cheese.,1,4,"[[0.35, -1.4987687364478288, -0.060764090107384545], [0.7, 0.6967611225530719, 1.3283538452154167], [1.0499999999999998, 0.8020076138947567, -1.2675897551080313], [1.4, -1.4987687364478288, -0.060764090107384545]]",1,0,0.18336987495422363,0
FED_20160523c_3T2,1,1,1,26.0284481048584,Sem-photo,9,A man is peeling a carrot.,1,4,"[[0.35, 0.9419690346786174, 1.1673449951520904], [0.7, -1.4819349381216413, 0.23209661603394213], [1.0499999999999998, 0.5399659034430238, -1.3994416111860326], [1.4, -1.4819349381216413, 0.23209661603394213]]",1,1,1.7002170085906982,1
FED_20160523c_3T2,1,1,1,28.02871012687683,Sem-photo,55,A man is putting a cheese slice on a cracker.,0,3,"[[0.4666666666666666, -1.7634022196558297, -0.9436167716360773], [0.9333333333333332, 0.06450501415401357, 1.9989595051298539], [1.4, -1.7634022196558297, -0.9436167716360773]]",0,0,1.966783046722412,1
FED_20160523c_3T2,1,1,1,30.028972148895264,Sem-photo,32,A woman is putting on a headband.,0,3,"[[0.4666666666666666, -1.8760615766594044, 0.6931038598812079], [0.9333333333333332, 1.5382763384478797, 1.2781650545103258], [1.4, 0.33778523821152534, -1.9712689143915356]]",0,0,1.666877031326294,1
FED_20160523c_3T2,1,1,1,34.02949619293213,Sem-sent,36,A woman is washing the dishes.,0,3,"[[0.4666666666666666, 1.6090352661402676, -1.1878575303111556], [0.9333333333333332, 0.2241971642559705, 1.9873941812181048], [1.4, 1.6090352661402676, -1.1878575303111556]]",0,1,1.7335569858551025,0
FED_20160523c_3T2,1,1,1,36.02973222732544,Sem-sent,37,A woman is putting mascara on her eyelashes.,0,4,"[[0.35, -1.1290865423551137, -0.9875037113209113], [0.7, 1.419746571512881, -0.48406577309020715], [1.0499999999999998, -0.29066002915776634, 1.471569484411119], [1.4, -1.1290865423551137, -0.9875037113209113]]",0,0,1.3501949310302734,1
FED_20160523c_3T2,1,1,1,38.03002405166626,Sem-sent,52,A woman is pouring fancy wine into a wine glass.,0,3,"[[0.4666666666666666, -0.8303710521669245, 1.8194735270740254], [0.9333333333333332, 1.9908958220428419, -0.1906143377932441], [1.4, -1.1605247698759176, -1.6288591892807827]]",0,1,1.8835821151733398,0
