subjid,list,run,counterbalancing,onset,condition,item,sentence,irreversible?,numbermoves,motioninfo,correctkey,response,RT,accuracy
FED_20160805a_3T1,1,2,2,18.028318166732788,Perc-photo,64,A woman is putting a fork in a utensil rack.,0,3,"[[0.4666666666666666, 1.9904520585465626, 0.19519375663107608], [0.9333333333333332, -0.8261832773706509, -1.8213789260318924], [1.4, 1.9904520585465626, 0.19519375663107608]]",1,1,1.9654409885406494,1
FED_20160805a_3T1,1,2,2,20.031195163726807,Perc-photo,91,A woman is putting away orange juice.,0,4,"[[0.35, 0.44244529692817836, -1.4332627669852225], [0.7, 1.0200193180434898, 1.099800250417363], [1.0499999999999998, 0.44244529692817836, -1.4332627669852225], [1.4, -1.462464614971668, 0.3334625165678604]]",0,0,1.500236988067627,1
FED_20160805a_3T1,1,2,2,22.030951023101807,Perc-photo,85,A woman is putting on a hat.,0,4,"[[0.35, 1.0562929920240118, 1.0650094436205535], [0.7, 0.39417873743372406, -1.4472812867425446], [1.0499999999999998, -1.4504717294577358, 0.38227184312199153], [1.4, 1.0562929920240118, 1.0650094436205535]]",0,0,1.6355741024017334,1
FED_20160805a_3T1,1,2,2,24.032320976257324,Perc-photo,57,A woman is putting a wallet into her purse.,0,3,"[[0.4666666666666666, 0.7858227397875133, -1.8391526912230116], [0.9333333333333332, 1.1998415821438901, 1.60011880113898], [1.4, -1.9856643219314023, 0.2390338900840303]]",1,1,1.79933500289917,1
FED_20160805a_3T1,1,2,2,26.03169012069702,Perc-photo,94,A woman is grooming a cat.,0,4,"[[0.35, 1.3527212791440828, 0.6481860388428591], [0.7, -0.11501506355571858, -1.4955840113999863], [1.0499999999999998, -1.237706215588364, 0.8473979725571273], [1.4, 1.3527212791440828, 0.6481860388428591]]",0,0,1.6674408912658691,1
FED_20160805a_3T1,1,2,2,28.030875205993652,Perc-photo,71,A man is blowing his nose.,1,4,"[[0.35, -0.6799276124976896, -1.3370484066641686], [0.7, -0.8179540800118315, 1.2573587884895856], [1.0499999999999998, -0.6799276124976896, -1.3370484066641686], [1.4, -0.8179540800118315, 1.2573587884895856]]",0,0,1.685114860534668,1
FED_20160805a_3T1,1,2,2,30.03010320663452,Perc-photo,106,A man is putting on a shoe.,0,4,"[[0.35, 1.47572236513982, 0.26878151168958064], [0.7, -0.5050895653791493, -1.4124038129887295], [1.0499999999999998, 1.47572236513982, 0.26878151168958064], [1.4, -0.5050895653791493, -1.4124038129887295]]",0,0,1.732832908630371,1
FED_20160805a_3T1,1,2,2,34.02872920036316,Perc-sent,91,A woman is pouring some milk for the cat.,0,3,"[[0.4666666666666666, 1.991246112503938, 0.1869195533858192], [0.9333333333333332, -0.8337459745558082, -1.8179294953083263], [1.4, 1.991246112503938, 0.1869195533858192]]",1,1,1.9683959484100342,1
FED_20160805a_3T1,1,2,2,36.03261613845825,Perc-sent,108,A woman is decorating a notebook with some stickers.,0,3,"[[0.4666666666666666, 0.3969281069598454, 1.9602163344654777], [0.9333333333333332, -1.8960611960402396, -0.6363583431294476], [1.4, 0.3969281069598454, 1.9602163344654777]]",1,1,1.8658840656280518,1
FED_20160805a_3T1,1,2,2,38.03204417228699,Perc-sent,106,A man is putting contact lenses into a lense solution.,0,4,"[[0.35, 0.6176239141304196, 1.3669457563101104], [0.7, 0.8749977934946782, -1.2183508777767775], [1.0499999999999998, 0.6176239141304196, 1.3669457563101104], [1.4, 0.8749977934946782, -1.2183508777767775]]",0,0,1.5827479362487793,1
FED_20160805a_3T1,1,2,2,40.03344798088074,Perc-sent,57,A man is hanging a bird feeder on a tree.,0,3,"[[0.4666666666666666, 1.8608240475529607, 0.7330306023957094], [0.9333333333333332, -1.565235147202574, 1.2450055959559925], [1.4, 1.8608240475529607, 0.7330306023957094]]",1,1,1.897085189819336,1
FED_20160805a_3T1,1,2,2,42.03045701980591,Perc-sent,73,A woman is feeding the ducks some crumbs.,1,4,"[[0.35, 0.5975629174134884, 1.3758337689315088], [0.7, -1.4902884539859202, -0.1704122176261299], [1.0499999999999998, 0.5975629174134884, 1.3758337689315088], [1.4, 0.8927255365724326, -1.2054215513053774]]",0,0,1.732748031616211,1
FED_20160805a_3T1,1,2,2,44.034433126449585,Perc-sent,58,A man is hanging a painting in the bedroom.,0,3,"[[0.4666666666666666, -1.8218034722789715, 0.8252466954749241], [0.9333333333333332, 0.1962171334690402, -1.990351435433751], [1.4, -1.8218034722789715, 0.8252466954749241]]",1,1,1.8489809036254883,1
FED_20160805a_3T1,1,2,2,46.033536195755005,Perc-sent,71,A man is attaching a bike to the pole using a bike lock.,0,4,"[[0.35, -1.321109396531432, 0.7104012685773832], [0.7, 1.2757802437344226, 0.7889136642858569], [1.0499999999999998, 0.045329152797009976, -1.4993149328632411], [1.4, 1.2757802437344226, 0.7889136642858569]]",0,0,1.7334117889404297,1
