SubjID,List,Order,Run,TrialNumber,TrialOnset,Condition,ItemNum,Item,Motion,CorrectAnswer,Response,Accuracy,RT
FED_20160908d_3T1,2,2,2,1,0,FIX,0,+,-,0,0,0,0
FED_20160908d_3T1,2,2,2,2,24,Pic_Perc,5,05_implaus_patient_treating_dentist.jpg,left,1,1,1,1.077125263997
FED_20160908d_3T1,2,2,2,3,26,Pic_Perc,27,27_implaus_athlete_applauds_the_lady.jpg,left,1,1,1,1.11084681599459
FED_20160908d_3T1,2,2,2,4,28,Pic_Perc,12,12_plaus_photographer_photographes_model.jpg,left,1,1,1,1.2934784579993
FED_20160908d_3T1,2,2,2,5,30,Pic_Perc,30,30_plaus_cat_chases_mouse.jpg,left,1,1,1,1.11013320799975
FED_20160908d_3T1,2,2,2,6,32,Pic_Perc,3,03_implaus_patient_uses_stethoscope_on_doctor.jpg,left,1,1,1,1.44176462599717
FED_20160908d_3T1,2,2,2,7,34,Pic_Perc,18,18_plaus_waiter_serving_customer.jpg,left,1,1,1,1.62046714799362
FED_20160908d_3T1,2,2,2,8,36,Pic_Perc,31,31_implaus_patient_pushes_visitor.jpg,right,2,2,1,1.37472199600597
FED_20160908d_3T1,2,2,2,9,38,Pic_Perc,24,24_plaus_father_pulls_child.jpg,left,1,1,1,1.63956083300582
FED_20160908d_3T1,2,2,2,10,40,Pic_Perc,40,40_plaus_chauffeur_opens_door_for_lady.jpg,right,2,2,1,1.23899162000453
FED_20160908d_3T1,2,2,2,11,42,Pic_Perc,32,32_plaus_relative_visits_patient.jpg,left,1,1,1,1.03997743199579
FED_20160908d_3T1,2,2,2,12,46,Sent_Sem,27,The lady is applauding the athlete.,left,1,2,0,1.40588112499972
FED_20160908d_3T1,2,2,2,13,48,Sent_Sem,1,The cop is arresting the criminal.,right,1,1,1,1.18785512000613
FED_20160908d_3T1,2,2,2,14,50,Sent_Sem,25,Santa is giving the girl a present.,right,1,1,1,1.18807742200443
FED_20160908d_3T1,2,2,2,15,52,Sent_Sem,8,The businessman is painting the artist.,left,2,1,0,1.54577236900514
FED_20160908d_3T1,2,2,2,16,54,Sent_Sem,26,The queen is bowing to the peasant.,left,2,2,1,1.21812029600551
FED_20160908d_3T1,2,2,2,17,56,Sent_Sem,28,The son is tying the father's shoes.,left,2,2,1,1.46763638500124
