subjid,list,run,counterbalancing,onset,condition,item,sentence,irreversible?,numbermoves,motioninfo,correctkey,response,RT,accuracy
FED_20160623b_3T2,2,1,1,18.026737928390503,Sem-photo,74,A man is pouring some coffee.,0,4,"[[0.35, 1.1757329810049713, 0.9314783719320399], [0.7, 0.21881744266643038, -1.4839538155835321], [1.0499999999999998, 1.1757329810049713, 0.9314783719320399], [1.4, 0.21881744266643038, -1.4839538155835321]]",0,1,1.2333779335021973,0
FED_20160623b_3T2,2,1,1,20.026931047439575,Sem-photo,79,A woman is putting a slice of pizza into a microwave.,1,3,"[[0.4666666666666666, -0.759180659922566, 1.8503093594314268], [0.9333333333333332, 1.9820052400890107, -0.26768494216093525], [1.4, -0.759180659922566, 1.8503093594314268]]",1,1,0.8501439094543457,1
FED_20160623b_3T2,2,1,1,22.0271098613739,Sem-photo,84,A man is lighting up a cigarette.,1,4,"[[0.35, -1.4838128362909122, 0.21977139681568794], [0.7, 0.9322340308130319, 1.1751339122815267], [1.0499999999999998, 0.5515788054778802, -1.3949053090972143], [1.4, 0.9322340308130319, 1.1751339122815267]]",1,1,1.8669090270996094,1
FED_20160623b_3T2,2,1,1,24.027362823486328,Sem-photo,85,A woman is putting on a hat.,0,4,"[[0.35, -0.8206588701132782, -1.2555950855687503], [0.7, 1.4977066760260729, -0.08291388657475854], [1.0499999999999998, -0.6770478059127931, 1.3385089721435088], [1.4, -0.8206588701132782, -1.2555950855687503]]",0,0,1.7834842205047607,1
FED_20160623b_3T2,2,1,1,26.027561902999878,Sem-photo,95,A woman straightening her hair.,0,3,"[[0.4666666666666666, -1.5896777950088843, -1.213641012843457], [0.9333333333333332, 1.8458828457015521, -0.7698808478879962], [1.4, -0.25620505069266863, 1.9835218607314533]]",0,0,1.7001209259033203,1
FED_20160623b_3T2,2,1,1,28.027729988098145,Sem-photo,72,A woman is putting a candle into a piece of cake.,0,4,"[[0.35, 0.09073509939973842, -1.497253198940286], [0.7, 1.251291756479934, 0.8272055005652231], [1.0499999999999998, -1.342026855879673, 0.670047698375063], [1.4, 0.09073509939973842, -1.497253198940286]]",0,1,1.7834899425506592,0
FED_20160623b_3T2,2,1,1,30.027922868728638,Sem-photo,75,A woman is brushing her hair.,0,4,"[[0.35, -0.7039784185436868, 1.3245430858317633], [0.7, 1.4990771700091825, -0.052608348741053565], [1.0499999999999998, -0.7039784185436868, 1.3245430858317633], [1.4, 1.4990771700091825, -0.052608348741053565]]",0,0,1.633453130722046,1
FED_20160623b_3T2,2,1,1,34.02828502655029,Sem-sent,96,A man is sweeping the hardwood floor with a broom.,0,4,"[[0.35, 0.10219062889404779, 1.4965149766595185], [0.7, -1.347115301378043, -0.6597578076788058], [1.0499999999999998, 0.10219062889404779, 1.4965149766595185], [1.4, 1.244924672483995, -0.8367571689807128]]",0,,,
FED_20160623b_3T2,2,1,1,36.028472900390625,Sem-sent,64,A woman is putting staples into the stapler.,0,3,"[[0.4666666666666666, 1.9820833364296986, 0.26710606029761635], [0.9333333333333332, -1.222362301937363, 1.582981491617129], [1.4, 1.9820833364296986, 0.26710606029761635]]",0,0,0.3666999340057373,1
FED_20160623b_3T2,2,1,1,38.02865290641785,Sem-sent,99,A child is swimming while holding onto the swimming noodle.,0,4,"[[0.35, 0.01891515529145404, 1.499880734225325], [0.7, 1.2894772408402604, -0.7663213721115897], [1.0499999999999998, 0.01891515529145404, 1.499880734225325], [1.4, 1.2894772408402604, -0.7663213721115897]]",0,0,1.6834709644317627,1
FED_20160623b_3T2,2,1,1,40.02884387969971,Sem-sent,60,A woman is cutting a cucumber for the salad.,1,3,"[[0.4666666666666666, -1.0768225504979256, -1.6853644100725347], [0.9333333333333332, 1.9979796690059517, -0.089873479062889], [1.4, -0.9211571185080271, 1.775237889135422]]",1,1,1.8668291568756104,1
FED_20160623b_3T2,2,1,1,42.02902698516846,Sem-sent,95,A man is mowing the lawn.,1,4,"[[0.35, 1.171879766055273, 0.9363214265999888], [0.7, 0.22493825851564148, -1.4830383608848257], [1.0499999999999998, -1.3968180245709139, 0.5467169342848364], [1.4, 1.171879766055273, 0.9363214265999888]]",1,0,1.6834678649902344,0
FED_20160623b_3T2,2,1,1,44.04588294029236,Sem-sent,59,A woman is singing into the microphone.,0,3,"[[0.4666666666666666, 0.4018974100928132, -1.9592035299479962], [0.9333333333333332, -1.8976687331655178, 0.631548398118449], [1.4, 0.4018974100928132, -1.9592035299479962]]",0,1,1.7834839820861816,0
FED_20160623b_3T2,2,1,1,46.02939486503601,Sem-sent,61,A man is serving appetizers using a silver platter.,0,4,"[[0.35, 1.3802406972220727, -0.5873121978402347], [0.7, -1.198747631893152, -0.9016674082113425], [1.0499999999999998, -0.18149306532892118, 1.4889796060515779], [1.4, -1.198747631893152, -0.9016674082113425]]",0,0,1.616791009902954,1
FED_20160623b_3T2,2,1,1,50.02976989746094,Perc-photo,48,A man is throwing away banana peels.,0,3,"[[0.4666666666666666, 1.5497056616599711, -1.2642833393741417], [0.9333333333333332, 0.3200486586494435, 1.974226141073178], [1.4, -1.8697543203094154, -0.7099428016990359]]",1,,,
FED_20160623b_3T2,2,1,1,52.029947996139526,Perc-photo,5,A man is salting an egg.,1,4,"[[0.35, 0.5696076345907096, -1.3876408550543533], [0.7, 0.9169284145108749, 1.1871151092722951], [1.0499999999999998, 0.5696076345907096, -1.3876408550543533], [1.4, 0.9169284145108749, 1.1871151092722951]]",0,1,0.03371381759643555,0
FED_20160623b_3T2,2,1,1,54.03013491630554,Perc-photo,7,A man is eating a twizzler.,1,3,"[[0.4666666666666666, 1.6524428756628207, -1.1266909703513148], [0.9333333333333332, 0.14952156470736952, 1.9944029938022707], [1.4, 1.6524428756628207, -1.1266909703513148]]",1,1,1.6334590911865234,1
FED_20160623b_3T2,2,1,1,56.03033089637756,Perc-photo,44,A man is putting in some ear buds.,0,4,"[[0.35, 0.2648785518982382, 1.4764279029957041], [0.7, -1.4110633467995854, -0.5088223966363437], [1.0499999999999998, 0.2648785518982382, 1.4764279029957041], [1.4, -1.4110633467995854, -0.5088223966363437]]",0,0,1.6001129150390625,1
FED_20160623b_3T2,2,1,1,58.03050684928894,Perc-photo,16,A man is putting sunglasses on his head.,0,4,"[[0.35, -1.3958824815288462, 0.5491011726092654], [0.7, 1.1734768054918718, 0.9343191033970095], [1.0499999999999998, 0.22240567603697492, -1.483420276006276], [1.4, 1.1734768054918718, 0.9343191033970095]]",0,0,1.8001530170440674,1
FED_20160623b_3T2,2,1,1,60.030685901641846,Perc-photo,30,A woman is putting scissors in a desk organizer.,0,4,"[[0.35, -1.1610288484252709, 0.9497431300748056], [0.7, 1.4030161019271656, 0.5306089122254743], [1.0499999999999998, -1.1610288484252709, 0.9497431300748056], [1.4, -0.24198725350189498, -1.4803520423002798]]",0,0,1.683474063873291,1
FED_20160623b_3T2,2,1,1,62.030884981155396,Perc-photo,10,A man is lighting a candle.,1,3,"[[0.4666666666666666, 0.4676528665022142, -1.944556709497633], [0.9333333333333332, -1.9178619427755346, 0.5672790922052849], [1.4, 1.4502090762733197, 1.377277617292347]]",1,1,1.6668610572814941,1
FED_20160623b_3T2,2,1,1,66.03123903274536,Perc-sent,6,A man is knitting a scarf.,0,4,"[[0.35, 1.430694205066128, -0.4506818074764063], [0.7, -0.3250452082350075, 1.4643584303726533], [1.0499999999999998, 1.430694205066128, -0.4506818074764063], [1.4, -0.3250452082350075, 1.4643584303726533]]",0,0,1.6835458278656006,1
FED_20160623b_3T2,2,1,1,68.03144097328186,Perc-sent,52,A woman is pouring fancy wine into a wine glass.,0,4,"[[0.35, -1.310123337713153, -0.7304634419184493], [0.7, 1.2876615660937727, -0.7693683715912245], [1.0499999999999998, -1.310123337713153, -0.7304634419184493], [1.4, 0.022461771619379567, 1.4998318135096744]]",0,1,1.6335160732269287,0
FED_20160623b_3T2,2,1,1,70.0316150188446,Perc-sent,29,A woman is dissolving some Alka-Seltzer in a glass.,1,3,"[[0.4666666666666666, 1.2424306857216112, -1.5672798062813567], [0.9333333333333332, 0.7360887842172027, 1.859616439416914], [1.4, 1.2424306857216112, -1.5672798062813567]]",1,1,1.8668630123138428,1
FED_20160623b_3T2,2,1,1,72.0318078994751,Perc-sent,47,A woman is chopping up onions.,1,4,"[[0.35, -0.34378327395555075, 1.4600729641180274], [0.7, -1.0925686413272804, -1.027761530700707], [1.0499999999999998, -0.34378327395555075, 1.4600729641180274], [1.4, 1.4363519152828328, -0.4323114334173207]]",0,0,1.6501960754394531,1
FED_20160623b_3T2,2,1,1,74.03199100494385,Perc-sent,35,A woman is stirring the soup using a ladle.,0,3,"[[0.4666666666666666, -1.3820785176949797, -1.4456344527321032], [0.9333333333333332, 1.9429954194995052, -0.47409787998254277], [1.4, -1.3820785176949797, -1.4456344527321032]]",1,1,1.6335229873657227,1
FED_20160623b_3T2,2,1,1,76.03216981887817,Perc-sent,44,A man is getting a tattoo on his arm.,1,4,"[[0.35, -0.39869882173163995, -1.4460426167820235], [0.7, -1.0529602302223378, 1.0683046164695356], [1.0499999999999998, -0.39869882173163995, -1.4460426167820235], [1.4, 1.451659051953978, 0.3777380003124886]]",0,0,1.7168710231781006,1
FED_20160623b_3T2,2,1,1,78.0490198135376,Perc-sent,26,A woman is cutting out a coupon from the newspaper.,1,4,"[[0.35, -1.2560640180533549, 0.8199409628452901], [0.7, -0.08205769440081605, -1.4977538298364061], [1.0499999999999998, 1.3381217124541709, 0.6778128669911164], [1.4, -0.08205769440081605, -1.4977538298364061]]",0,0,1.616880178451538,1
FED_20160623b_3T2,2,1,1,98.01760292053223,Perc-sent,30,A woman is putting a necklace in a jewelry box.,0,3,"[[0.4666666666666666, -0.8366164436598839, 1.8166102846229535], [0.9333333333333332, 1.991538877089499, -0.18377404887822701], [1.4, -0.8366164436598839, 1.8166102846229535]]",1,0,1.850153923034668,0
FED_20160623b_3T2,2,1,1,100.01779794692993,Perc-sent,7,A man is eating a piece of salami.,1,3,"[[0.4666666666666666, 1.8397833681527904, 0.7843450505156349], [0.9333333333333332, -1.5991544231555233, 1.2011266090225983], [1.4, 1.8397833681527904, 0.7843450505156349]]",1,1,1.8668169975280762,1
FED_20160623b_3T2,2,1,1,102.017982006073,Perc-sent,56,A man is putting dirty socks into the laundry basket.,0,4,"[[0.35, 1.4823657652266065, 0.22932888628373282], [0.7, -0.5425782412699982, -1.3984308535284666], [1.0499999999999998, -0.939787523956609, 1.1691019672447334], [1.4, 1.4823657652266065, 0.22932888628373282]]",0,0,1.7001368999481201,1
FED_20160623b_3T2,2,1,1,104.01816582679749,Perc-sent,17,A man is putting some books in his briefcase.,0,3,"[[0.4666666666666666, -1.9816514793142386, 0.2702913511966111], [0.9333333333333332, 0.7567465630976323, -1.8513061981314494], [1.4, 1.224904916216606, 1.581014846934838]]",1,1,1.9001622200012207,1
FED_20160623b_3T2,2,1,1,106.0183539390564,Perc-sent,48,A woman is making an apple martini.,1,4,"[[0.35, 1.1315157784914684, 0.9847192711757224], [0.7, -1.418549793680007, 0.48756177336867723], [1.0499999999999998, 0.28703401518853855, -1.4722810445443988], [1.4, 1.1315157784914684, 0.9847192711757224]]",0,0,1.6501200199127197,1
FED_20160623b_3T2,2,1,1,108.01853084564209,Perc-sent,10,A man is power-washing his deck.,0,3,"[[0.4666666666666666, 1.7243734837313158, 1.013181172646001], [0.9333333333333332, -1.739627376013203, 0.9867606562005895], [1.4, 0.015253892281887373, -1.9999418288465924]]",1,1,1.7501420974731445,1
FED_20160623b_3T2,2,1,1,110.01871085166931,Perc-sent,51,A woman is pouring hot water into a coffee mug.,0,3,"[[0.4666666666666666, 0.7789147094556089, 1.8420889976854224], [0.9333333333333332, 1.2058385132995864, -1.5956044246126428], [1.4, 0.7789147094556089, 1.8420889976854224]]",1,1,1.683467149734497,1
FED_20160623b_3T2,2,1,1,114.01908493041992,Perc-photo,52,A man is putting a pear in a fruit basket.,0,4,"[[0.35, 0.45059486222190004, -1.4307215907154078], [0.7, 1.0137438121914752, 1.1055873928566187], [1.0499999999999998, -1.4643386744133755, 0.32513419785878916], [1.4, 0.45059486222190004, -1.4307215907154078]]",0,0,1.6834630966186523,1
FED_20160623b_3T2,2,1,1,116.01926898956299,Perc-photo,49,A woman is opening a can.,1,4,"[[0.35, -0.4106218301659352, 1.442702225891115], [0.7, 1.4547276928010289, -0.3657421766733986], [1.0499999999999998, -0.4106218301659352, 1.442702225891115], [1.4, 1.4547276928010289, -0.3657421766733986]]",0,0,1.6334600448608398,1
FED_20160623b_3T2,2,1,1,118.01944899559021,Perc-photo,17,A man is sweetening his tea.,1,3,"[[0.4666666666666666, -1.2340261039780414, -1.5739058341275618], [0.9333333333333332, -0.7460293835299848, 1.8556508720419018], [1.4, -1.2340261039780414, -1.5739058341275618]]",1,1,1.7001419067382812,1
FED_20160623b_3T2,2,1,1,120.01963186264038,Perc-photo,35,A woman is scooping up some ice cream.,1,3,"[[0.4666666666666666, 1.5238566328898542, 1.295322725191524], [0.9333333333333332, -1.8837107025600768, 0.6720371932122673], [1.4, 1.5238566328898542, 1.295322725191524]]",1,1,1.6834709644317627,1
